Year,CO2
1750,9.306
1751,9.407
1752,9.505
1753,9.61
1754,9.734
1755,9.793
1756,9.91
1757,10.094
1758,10.216
1759,10.339
1760,10.514
1761,10.748
1762,10.952
1763,11.192
1764,11.397
1765,11.643
1766,11.876
1767,12.153
1768,12.467
1769,12.78
1770,13.097
1771,13.369
1772,13.624
1773,13.808
1774,14.012
1775,14.339
1776,14.654
1777,14.96
1778,15.243
1779,15.535
1780,15.879
1781,16.234
1782,16.581
1783,17.063
1784,17.471
1785,17.965
1786,18.447
1787,18.859
1788,19.286
1789,19.863
1790,20.398
1791,20.932
1792,21.929
1793,22.297
1794,22.52
1795,22.315
1796,22.121
1797,22.09
1798,23.106
1799,27.485
1800,32.798
1801,31.986
1802,40.31
1803,29.539
1804,31.769
1805,31.252
1806,32.705
1807,36.201
1808,35.498
1809,36.334
1810,39.492
1811,40.177
1812,40.815
1813,41.206
1814,42.227
1815,43.587
1816,45.497
1817,49.276
1818,51.392
1819,50.93
1820,50.733
1821,52.059
1822,54.022
1823,56.358
1824,57.584
1825,60.731
1826,61.382
1827,65.739
1828,66.682
1829,66.307
1830,88.988
1831,83.251
1832,82.092
1833,83.249
1834,88.763
1835,97.4
1836,106.894
1837,106.199
1838,105.845
1839,109.653
1840,118.809
1841,122.166
1842,129.389
1843,132.369
1844,141.966
1845,155.073
1846,157.702
1847,170.797
1848,173.643
1849,185.048
1850,196.848
1851,198.779
1852,207.595
1853,217.237
1854,255.039
1855,260.26
1856,278.246
1857,281.181
1858,285.548
1859,302.572
1860,332.298
1861,349.19
1862,355.991
1863,379.535
1864,409.525
1865,434.851
1866,449.067
1867,480.814
1868,494.494
1869,524.731
1870,536.123
1871,569.777
1872,630.961
1873,670.467
1874,628.662
1875,681.048
1876,690.583
1877,704.033
1878,709.65
1879,759.794
1880,858.056
1881,887.965
1882,937.888
1883,997.515
1884,1009.43
1885,1017.145
1886,1032.614
1887,1083.728
1888,1200.802
1889,1201.516
1890,1306.591
1891,1368.916
1892,1379.809
1893,1362.515
1894,1411.533
1895,1495.239
1896,1544.661
1897,1617.493
1898,1705.961
1899,1863.135
1900,1961.491
1901,2023.964
1902,2074.8
1903,2262.046
1904,2287.509
1905,2437.062
1906,2544.486
1907,2900.325
1908,2785.687
1909,2901.167
1910,3043.326
1911,3090.098
1912,3246.477
1913,3516.533
1914,3189.786
1915,3140.277
1916,3391.973
1917,3548.138
1918,3499.686
1919,3033.839
1920,3537.837
1921,3106.184
1922,3254.463
1923,3690.698
1924,3702.777
1925,3740.634
1926,3677.407
1927,4012.947
1928,3996.312
1929,4288.211
1930,3958.096
1931,3539.32
1932,3192.592
1933,3362.683
1934,3656.187
1935,3835.742
1936,4207.931
1937,4496.715
1938,4229.619
1939,4470.135
1940,4884.664
1941,4999.093
1942,4982.524
1943,5075.273
1944,5162.486
1945,4289.312
1946,4608.547
1947,5165.206
1948,5447.885
1949,5204.035
1950,5930.244
1951,6381.429
1952,6467.46
1953,6650.885
1954,6789.529
1955,7443.896
1956,7926.013
1957,8185.645
1958,8417.188
1959,8854.689
1960,9387.011
1961,9415.042
1962,9747.287
1963,10266.772
1964,10824.466
1965,11310.601
1966,11862.646
1967,12237.369
1968,12905.283
1969,13761.785
1970,14899.124
1971,15503.854
1972,16224.597
1973,17085.094
1974,17011.072
1975,17052.752
1976,17989.111
1977,18498.635
1978,19069.291
1979,19609.02
1980,19488.523
1981,19022.902
1982,18871.098
1983,18991.91
1984,19647.801
1985,20311.902
1986,20614.963
1987,21250.074
1988,22085.131
1989,22386.637
1990,22728.988
1991,23186.102
1992,22528.172
1993,22755.787
1994,22992.947
1995,23532.084
1996,24258.168
1997,24401.906
1998,24303.777
1999,24853.729
2000,25510.553
2001,25706.293
2002,26276.869
2003,27669.49
2004,28632.506
2005,29614.395
2006,30628.396
2007,31534.645
2008,32074.199
2009,31541.922
2010,33355.902
2011,34504.539
2012,35000.02
2013,35301.656
2014,35450.094
2015,35404.898
2016,35416.656
2017,35989.898
2018,36730.426
2019,37104.273
2020,35126.527
2021,36991.734
2022,37293.836
2023,37791.57
